web-scraper-order,web-scraper-start-url,school_name,school_name-href,print,print-href,type,ug_total_enroll,total_g_enroll,total_other_enroll,disciplines,discipline_degrees,description,faculty_departments,faculty_numbers,ug_tuition,ug_applicants,ug_offered,ug_enrolled,ug_sat,ug_act,g_tuition,g_applicants,g_offered,g_enrolled
"1553491939-112","http://profiles.asee.org/","Texas A&M University - Kingsville","http://profiles.asee.org/profiles/8108/screen/1?school_name=Texas+A%26M+University+-+Kingsville","print entire profile","http://profiles.asee.org/profiles/8108/print_all","PUBLIC","","","","[]","[]","Teaching, Non-Tenure-Track","[]","[]","null","1,470","null","null","[]","[]","null","1,109","null","null"
"1553492729-282","http://profiles.asee.org/","University of Connecticut","http://profiles.asee.org/profiles/8170/screen/1?school_name=University+of+Connecticut","print entire profile","http://profiles.asee.org/profiles/8170/print_all","PUBLIC","23,978","7,004","1,275","[]","[{""discipline_degrees"":""INCOLL""},{""discipline_degrees"":""INCOLL""},{""discipline_degrees"":""INCOLL""},{""discipline_degrees"":""INDEPT""},{""discipline_degrees"":""INUNIV""},{""discipline_degrees"":""INCOLL""},{""discipline_degrees"":""INCOLL""},{""discipline_degrees"":""INCOLL""},{""discipline_degrees"":""INDEPT""},{""discipline_degrees"":""INUNIV""},{""discipline_degrees"":""INCOLL""}]","The School offers a four-year undergraduate program in engineering.  Students have the opportunity to obtain a double major in any other program and minors in Bioinformatics, Biomedical Engineering, Computer Science, Electronics & Systems, Engineering Management, Environmental Engineering, Information Technology, Information Assurance,  Manufacturing, Materials Science & Engineering, Nanomaterials, and Nanotechnology.  A Management & Engineering for Manufacturing program is offered jointly with the School of Business and an Engineering Physics program is offered jointly by the Physics Department and the School of Engineering.  The Eurotech Program combines a degree in Engineering with a B.A. in German within the College of Liberal Arts & Sciences.  The ESP Program combines a degree in Engineering with a B.A. in Spanish within the College of Liberal Arts & Sciences. The AsiaTech program combines a degree in Engineering with a B.A. in Chinese  within the College of Liberal Arts & Sciences. The Technopole France program combines a degree in Engineering with a B.A. in French within the College of Liberal Arts & Sciences. Cooperative Education work experiences are available.

Graduate degrees are offered in interdisciplinary areas of Applied  Mechanics, Biomedical Engineering, Environmental Engineering, Fluid Dynamics, Materials Science and Polymer Science.","[]","[]","null","6,224","null","null","[]","[]","null","1,274","null","null"
"1553491902-104","http://profiles.asee.org/","The University of Texas at Tyler","http://profiles.asee.org/profiles/8248/screen/1?school_name=The+University+of+Texas+at+Tyler","print entire profile","http://profiles.asee.org/profiles/8248/print_all","PUBLIC","7,368","2,341","327","[]","[]","Engineering College Description and Special Characteristics","[]","[]","null","620","null","null","[]","[]","null","81","null","null"
"1553491701-60","http://profiles.asee.org/","Yale School of Engineering & Applied Science","http://profiles.asee.org/profiles/8218/screen/1?school_name=Yale+School+of+Engineering+%26+Applied+Science","print entire profile","http://profiles.asee.org/profiles/8218/print_all","PRIVATE","5,505","2,858","3,995","[{""disciplines"":""Biomedical Engineering""},{""disciplines"":""Chemical Engineering""},{""disciplines"":""Computer Science (inside engineering)""},{""disciplines"":""Electrical Engineering""},{""disciplines"":""Other Engineering Disciplines""},{""disciplines"":""Mechanical Engineering""}]","[{""discipline_degrees"":""Biomedical Engineering""},{""discipline_degrees"":""Chemical Engineering""},{""discipline_degrees"":""Environmental Engineering""},{""discipline_degrees"":""Computer Science (inside engineering)""},{""discipline_degrees"":""Electrical Engineering""},{""discipline_degrees"":""Mechanical Engineering""}]","An engineering education at Yale prepares a student for pursuing a career in engineering, for successful graduate study resulting in a Ph.D., for management of high tech enterprises, and for civic leadership. 

Yale's demanding engineering education is significantly enhanced by courses in the humanities, social sciences, the arts, and foreign languages, which engineering majors take alongside humanities majors. The resulting broad education enables an impressive number of Yale Engineering graduates to be successful in their careers and to assume positions of leadership in many segments of society.

The School of Engineering & Applied Science offers majors in Biomedical, Chemical, Electrical, Environmental and Mechanical Engineering. Each major provides many options. Engineering students may also pursue engineering-related majors in Electrical Engineering/Computer Science, Computer Science, and Applied Mathematics. A number of students choose to graduate with a double major, for example, Engineering and Music/Economics/Psychology.

At Yale, it is faculty, not graduate students, who teach undergraduates. The faculty-to-senior ratio is approximately one to one, and students enjoy much individual guidance. Faculty not only supervise student projects but also involve them in their own research. Faculty acknowledge their student researchers in published research papers, which means that some students graduate with their name on scientific publications. 

Engineering has a 160-year history at Yale (1852-2012). The first Engineering Ph.D. in the U.S. was awarded at Yale, in 1863. The recipient was J. Willard Gibbs, who went on to become a leading scientist of the nineteenth century.","[{""faculty_departments"":""Biomedical Engineering""},{""faculty_departments"":""Chemical & Environmental Engineering""},{""faculty_departments"":""Computer Science""},{""faculty_departments"":""Electrical Engineering""},{""faculty_departments"":""Engineering and Applied Science""},{""faculty_departments"":""Mechanical Engineering & Materials Science""},{""faculty_departments"":""Totals:""}]","[{""faculty_numbers"":""17""},{""faculty_numbers"":""13""},{""faculty_numbers"":""22""},{""faculty_numbers"":""14""},{""faculty_numbers"":""0""},{""faculty_numbers"":""13""},{""faculty_numbers"":""79""}]","$53,430","6,959","443","267","[{""ug_sat"":""Math Range:""},{""ug_sat"":""""},{""ug_sat"":""""},{""ug_sat"":""Reading Range:""},{""ug_sat"":""""},{""ug_sat"":""""},{""ug_sat"":""Writing Range:""},{""ug_sat"":""""},{""ug_sat"":""""},{""ug_sat"":""Combined Range:""},{""ug_sat"":""""},{""ug_sat"":""""}]","[{""ug_act"":""Math Range:""},{""ug_act"":""""},{""ug_act"":""""},{""ug_act"":""Composite Range:""},{""ug_act"":""33""},{""ug_act"":""35""}]","$42,100","1,616","227","103"
"1553491935-111","http://profiles.asee.org/","Texas Tech University","http://profiles.asee.org/profiles/8205/screen/1?school_name=Texas+Tech+University","print entire profile","http://profiles.asee.org/profiles/8205/print_all","PUBLIC","31,957","5,835","417","[]","[{""discipline_degrees"":""INDEPT""},{""discipline_degrees"":""INDEPT""},{""discipline_degrees"":""INDEPT""},{""discipline_degrees"":""INDEPT""},{""discipline_degrees"":""INDEPT""},{""discipline_degrees"":""INUNIV""},{""discipline_degrees"":""INDEPT""},{""discipline_degrees"":""INDEPT""}]","Students enrolled in engineering departments must complete a major design experience based on the knowledge and skills acquired in earlier course work and incorporating appropriate engineering standards and multiple realistic constraints.  Most of these projects involve working with faculty and practicing engineers to solve real problems in industry. Some of these projects are competitions hosted by professional organizations. These include, for example, American Society of Civil Engineers (concrete canoe and steel bridge), American Society of Mechanical Engineers (Human Powered Vehicle Challenge, robots for relief, unmanned air vehicles), and SAE (Baja, Formula One).","[]","[]","null","4,304","null","null","[]","[]","null","1,010","null","null"
"1553493001-341","http://profiles.asee.org/","Arkansas Tech University","http://profiles.asee.org/profiles/8258/screen/1?school_name=Arkansas+Tech+University","print entire profile","http://profiles.asee.org/profiles/8258/print_all","PUBLIC","11,151","950","12,101","[]","[{""discipline_degrees"":""Luay Wahsheh""},{""discipline_degrees"":""Carl Greco""},{""discipline_degrees"":""John Krohn""}]","Student Design Projects Description","[{""faculty_departments"":""Computer & Information Science1""},{""faculty_departments"":""Electrical Engineering""},{""faculty_departments"":""Mechanical Engineering""},{""faculty_departments"":""Totals:""}]","[{""faculty_numbers"":""4""},{""faculty_numbers"":""7""},{""faculty_numbers"":""7""},{""faculty_numbers"":""14""}]","null","376","null","null","[]","[{""ug_act"":""Math Range:""},{""ug_act"":""""},{""ug_act"":""""},{""ug_act"":""Reading Range:""},{""ug_act"":""""},{""ug_act"":""""},{""ug_act"":""Writing Range:""},{""ug_act"":""""},{""ug_act"":""""},{""ug_act"":""Combined Range:""},{""ug_act"":""""},{""ug_act"":""""}]","null","37","null","null"
"1553492569-247","http://profiles.asee.org/","University of Hawaii at Manoa","http://profiles.asee.org/profiles/8076/screen/1?school_name=University+of+Hawaii+at+Manoa","print entire profile","http://profiles.asee.org/profiles/8076/print_all","PUBLIC","12,864","3,968","774","[]","[{""discipline_degrees"":""Panos Prevedouros""},{""discipline_degrees"":""""},{""discipline_degrees"":""Wayne Shiroma""},{""discipline_degrees"":""Marcelo Kobayashi""},{""discipline_degrees"":""David Christopher""},{""discipline_degrees"":""Eva-Marie Nosal""},{""discipline_degrees"":""""}]","Established in 1907, the University of Hawaiʻi at Mānoa is the largest and oldest of the 10 UH campuses. Mānoa offers hundreds of undergraduate, graduate and professional degrees; a strong, vital research program; and nationally ranked NCAA Division I athletics. UH Mānoa is a research university of international standings.
It has widely recognized strengths in tropical agriculture, tropical medicine, oceanography, astronomy, electrical engineering, volcanology, evolutionary biology, comparative philosophy, comparative religion, Hawaiian studies, Pacific Islands studies, Asian studies and Pacific and Asian regional public health.  
UH Mānoa is one of 115 R1: Research Universities, considered the top tier in the country, and one of a handful of land-, sea-, space-, and sun-grant institutions. It is a global leader in earth and environmental sciences, consistently ranked among the top 15 universities internationally, ahead of some of the world’s most prestigious schools. UH Mānoa researchers provide world class expertise to local leaders on important issues including sustainability, climate, food systems and Hawai‘i’s unique health issues.
 (from manoa.hawaii.edu/about)
  
Engineering has been a major program of study at this institution since its founding in 1907. UH Manoa has granted more than 11,500 engineering degrees, and many of the professional engineers practicing in industries, consulting firms, and governmental agencies throughout the state are graduates of UH Manoa.  UH Manoa is the only accredited engineering degree-granting institution in the state of Hawaii. The College offers baccalaureate, masters, and doctoral programs to close to 1,500 students enrolled in civil, computer, electrical and mechanical engineering. All undergraduate students in the College of Engineering must receive approval of their program of courses from their advisors prior to registration each semester.  The College's faculty are actively engaged in government and industry-sponsored research that is national and international in scope. Many of the faculty have strong ties, including research projects, with academic institutions and industry in Asia and the Pacific Rim.  More information about the College is available at http://www.eng.hawaii.edu/","[]","[]","null","631","null","null","[]","[]","null","107","null","null"
"1553492705-277","http://profiles.asee.org/","University of Delaware","http://profiles.asee.org/profiles/8012/screen/1?school_name=University+of+Delaware","print entire profile","http://profiles.asee.org/profiles/8012/print_all","PUBLIC","19,060","4,164","896","[]","[]","With internationally ranked programs taught by expert faculty, the University of Delaware College of Engineering is devoted to developing highly skilled and well-rounded engineers who are focused on solving the grand challenges of health, sustainability, security, and quality of life. Training, research, and entrepreneurship intersect to provide students the tools, experience and unparalleled education that make them competitive in a global job market. Bachelor’s, master’s, and doctoral degree programs serve as a pathway to careers in academia, industry, health care and governmental agencies. 

Students are encouraged to participate in undergraduate research, working side-by-side with faculty to explore areas such as alternative energy, composite materials, rehabilitative health products, cybersecurity, and fuel cell research and development. Co-op and internship opportunities offer students real work experience�""a plus when graduates are looking for jobs. Likewise, the college’s entrepreneurial activities are building an ecosystem to nurture business-minded engineering students and to help them network and commercialize their ideas.

State-of-the-art facilities such as the Patrick T. Harker Interdisciplinary Science & Engineering Laboratory, the Design Studio, the iSuite, and the growing Science, Technology and Advanced Research (STAR) Campus immerse students in hands-on, problem-based learning and offer a fertile training ground for the next generation of researchers, entrepreneurs and inventors.","[]","[]","null","4,249","null","null","[]","[]","null","1,480","null","null"
"1553492373-205","http://profiles.asee.org/","Miami University","http://profiles.asee.org/profiles/8013/screen/1?school_name=Miami+University","print entire profile","http://profiles.asee.org/profiles/8013/print_all","PUBLIC","21,799","2,617","","[]","[]","Engineering College Description and Special Characteristics","[{""faculty_departments"":""Chemical, Paper & Biomedical Engineering""},{""faculty_departments"":""Computer Science & Software Engineering""},{""faculty_departments"":""Dean's Office""},{""faculty_departments"":""Dean's Office""},{""faculty_departments"":""Electrical and Computer Engineering""},{""faculty_departments"":""Mechanical & Manufacturing Engineering""},{""faculty_departments"":""Undergraduate Research""},{""faculty_departments"":""Totals:""}]","[{""faculty_numbers"":""0""},{""faculty_numbers"":""0""},{""faculty_numbers"":""0""},{""faculty_numbers"":""0""},{""faculty_numbers"":""0""},{""faculty_numbers"":""0""},{""faculty_numbers"":""0""},{""faculty_numbers"":""0""}]","null","4,280","null","null","[]","[]","null","147","null","null"
"1553492762-289","http://profiles.asee.org/","Colorado School of Mines","http://profiles.asee.org/profiles/8240/screen/1?school_name=Colorado+School+of+Mines","print entire profile","http://profiles.asee.org/profiles/8240/print_all","PUBLIC","4,908","1,262","98","[]","[{""discipline_degrees"":""Greg Fasshauer""},{""discipline_degrees"":""Anuj Chauhan""},{""discipline_degrees"":""Tom Gennett""},{""discipline_degrees"":""John McCray - Civil""},{""discipline_degrees"":""Tracy Camp""},{""discipline_degrees"":""Roderick Eggert""},{""discipline_degrees"":""Atef Elsherbeni""},{""discipline_degrees"":""Stephen Enders""},{""discipline_degrees"":""John Bradford""},{""discipline_degrees"":""""},{""discipline_degrees"":""John Berger""},{""discipline_degrees"":""Angus Rockett""},{""discipline_degrees"":""Priscilla Nelson""},{""discipline_degrees"":""Mark Jensen - Nuclear""},{""discipline_degrees"":""Erdal Ozkan""},{""discipline_degrees"":""Uwe Greife""},{""discipline_degrees"":""""}]","Engineering College Description and Special Characteristics","[]","[]","null","12,661","null","null","[]","[]","null","1,699","null","null"
